rank,player,team,league,pos_group,age,minutes,breakout_score,league_factor,overall,potential,ceiling,value_eur,npxg90,xa90,npga90,shots90,kp90,xgchain90,xgbuildup90,z_npxg90,z_xa90,z_npga90,z_shots90,z_kp90,z_xgchain90,z_xgbuildup90
459,David Møller Wolfe,Wolves,ENG-Premier League,MF,23,1049,-0.926,1.0,73.0,78.0,5.0,4300000.0,0.007,0.112,0.172,0.257,0.686,0.154,0.111,-1.225,-0.213,-0.324,-1.453,-0.761,-1.429,-1.078
460,Joris Chotard,Brest,FRA-Ligue 1,MF,23,2773,-0.929,0.815,74.0,78.0,4.0,5500000.0,0.041,0.017,0.097,0.811,0.357,0.324,0.281,-0.946,-1.373,-0.891,-0.87,-1.468,-0.834,-0.119
461,Mikael Ellertsson,Genoa,ITA-Serie A,MF,23,2767,-0.934,0.928,71.0,76.0,5.0,2800000.0,0.07,0.081,0.065,0.846,0.52,0.203,0.103,-0.621,-0.645,-1.008,-0.692,-1.125,-1.239,-1.209
462,Anthony Elanga,Newcastle,ENG-Premier League,FW,23,1319,-0.935,1.0,79.0,82.0,3.0,24000000.0,0.099,0.119,0.068,1.16,1.024,0.293,0.126,-1.707,-0.051,-1.851,-1.58,0.111,-1.232,-0.237
463,Mario Martín,Getafe,ESP-La Liga,MF,21,2125,-0.964,0.899,74.0,82.0,8.0,9500000.0,0.125,0.039,0.127,1.101,0.339,0.169,0.06,-0.125,-1.126,-0.677,-0.395,-1.443,-1.44,-1.545
464,Alexis Vossah,Toulouse,FRA-Ligue 1,MF,17,1092,-0.966,0.815,70.0,83.0,13.0,3400000.0,0.037,0.057,0.165,0.742,0.577,0.223,0.169,-0.985,-0.987,-0.553,-0.952,-1.147,-1.276,-0.865
465,Clément Akpa,Auxerre,FRA-Ligue 1,DF,23,1944,-0.97,0.815,74.0,80.0,6.0,6000000.0,0.011,0.02,0.0,0.278,0.417,0.117,0.112,-1.073,-0.696,-1.078,-0.987,-0.317,-1.391,-1.252
466,Andreas Hountondji,St Pauli,GER-Bundesliga,FW,23,1067,-0.974,0.887,70.0,77.0,7.0,3300000.0,0.354,0.06,0.337,1.771,0.506,0.317,0.009,-0.229,-0.96,-0.584,-0.991,-1.171,-1.293,-1.589
467,Tylel Tati,Nantes,FRA-Ligue 1,DF,17,1721,-0.994,0.815,69.0,83.0,14.0,3000000.0,0.026,0.001,0.0,0.157,0.052,0.19,0.185,-0.762,-0.99,-1.078,-1.316,-1.079,-0.965,-0.77
468,Rudy Matondo,Paris FC,FRA-Ligue 1,MF,17,1357,-0.997,0.815,70.0,84.0,14.0,3600000.0,0.121,0.016,0.133,0.862,0.332,0.203,0.159,-0.272,-1.384,-0.715,-0.81,-1.505,-1.364,-0.928
469,Armel Bella Kotchap,Hellas Verona,ITA-Serie A,DF,23,1347,-1.022,0.928,72.0,78.0,6.0,3400000.0,0.005,0.003,0.0,0.2,0.067,0.161,0.159,-1.179,-0.947,-1.078,-1.122,-1.029,-1.002,-0.8
470,Sascha Britschgi,Parma,ITA-Serie A,MF,18,2095,-1.031,0.928,65.0,75.0,10.0,1400000.0,0.018,0.087,0.086,0.558,0.73,0.175,0.079,-1.128,-0.578,-0.889,-1.076,-0.777,-1.381,-1.386
471,Romano Floriani,Cremonese,ITA-Serie A,MF,22,1168,-1.065,0.928,69.0,77.0,8.0,3100000.0,0.015,0.1,0.077,0.385,0.693,0.152,0.092,-1.149,-0.436,-0.94,-1.308,-0.838,-1.496,-1.286
472,Christian Ordoñez,Parma,ITA-Serie A,MF,21,1091,-1.081,0.928,71.0,81.0,10.0,3900000.0,0.037,0.022,0.082,0.825,0.495,0.154,0.123,-0.94,-1.294,-0.909,-0.719,-1.167,-1.487,-1.054
473,Alpha Touré,Metz,FRA-Ligue 1,MF,19,1606,-1.087,0.815,67.0,81.0,14.0,2300000.0,0.058,0.024,0.056,0.953,0.616,0.183,0.125,-0.807,-1.304,-1.099,-0.704,-1.09,-1.454,-1.154
474,Henrik Meister,Pisa,ITA-Serie A,FW,21,1515,-1.121,0.928,69.0,76.0,7.0,2900000.0,0.316,0.039,0.119,1.188,0.297,0.435,0.082,-0.374,-1.193,-1.62,-1.662,-1.557,-0.632,-0.81
475,Fredrik Oppegard,Auxerre,FRA-Ligue 1,MF,22,1246,-1.127,0.815,68.0,77.0,9.0,2600000.0,0.04,0.045,0.0,0.722,0.795,0.185,0.119,-0.954,-1.103,-1.379,-0.975,-0.83,-1.446,-1.198
476,Iker Muñoz,Osasuna,ESP-La Liga,MF,22,952,-1.13,0.899,71.0,79.0,8.0,4200000.0,0.03,0.024,0.0,0.851,0.473,0.178,0.15,-1.014,-1.285,-1.379,-0.72,-1.228,-1.393,-0.887
477,Simon Ebonog,Le Havre,FRA-Ligue 1,MF,20,1759,-1.133,0.815,68.0,79.0,11.0,2600000.0,0.101,0.017,0.051,1.126,0.358,0.168,0.071,-0.443,-1.372,-1.123,-0.5,-1.466,-1.517,-1.511
478,Boubacar Traoré,Metz,FRA-Ligue 1,MF,23,1387,-1.161,0.815,71.0,76.0,5.0,2600000.0,0.061,0.014,0.065,1.233,0.26,0.155,0.098,-0.779,-1.4,-1.054,-0.374,-1.61,-1.577,-1.334
479,Lucas Gourna-Douath,Le Havre,FRA-Ligue 1,MF,21,1272,-1.29,0.815,69.0,79.0,10.0,3000000.0,0.014,0.013,0.0,0.637,0.425,0.158,0.14,-1.176,-1.414,-1.379,-1.075,-1.369,-1.564,-1.053
480,Warren Bondo,Cremonese,ITA-Serie A,MF,21,1762,-1.314,0.928,71.0,78.0,7.0,3800000.0,0.015,0.008,0.0,0.409,0.153,0.176,0.153,-1.158,-1.448,-1.379,-1.277,-1.733,-1.377,-0.829
481,Mandela Keita,Parma,ITA-Serie A,MF,23,2979,-1.357,0.928,73.0,79.0,6.0,4400000.0,0.015,0.009,0.06,0.483,0.332,0.089,0.072,-1.157,-1.445,-1.035,-1.177,-1.436,-1.81,-1.44
482,Lamare Bogarde,Aston Villa,ENG-Premier League,MF,21,1053,-1.384,1.0,74.0,81.0,7.0,8000000.0,0.0,0.004,0.0,0.0,0.171,0.167,0.164,-1.299,-1.497,-1.379,-1.824,-1.682,-1.355,-0.652
483,Adrián Liso,Getafe,ESP-La Liga,FW,20,1702,-1.609,0.899,72.0,83.0,11.0,5000000.0,0.146,0.008,0.159,1.375,0.212,0.163,0.017,-1.488,-1.584,-1.443,-1.471,-1.748,-2.018,-1.511
